anio,Clave_del_incendio,latitud,longitud,Clave_Municipio,Estado,Municipio,CVE_ENT,CVE_MUN,CVEGEO,Region,Predio,Causa,Causa_especifica,Fecha_Inicio,Fecha_Termino,Duracion_dias,Tipo_de_incendio,Tipo_Vegetacion,Regimen_de_fuego,Tipo_impacto,Arbolado_Adulto,Renuevo,Arbustivo,Herbaceo,Hojarasca,Total_hectareas,Tamano,Deteccion,Llegada,Duracion,Entidad,fn_Clave_del_incendio,fn_Predio,fn_Causa,fn_Causa_especifica,fn_Duracion_dias,fn_Tipo_de_incendio,fn_Tipo_Vegetacion,fn_Tipo_impacto,fn_Tamano
2022,22-02-0004,31.8928,-116.6371694,1,Baja California,Ensenada,2,1,102,Noroeste,4 Milpas,Desconocidas,Desconocidas,4/24/2022,4/24/2022,1 Día,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,3.6445,0,0,3.6445,0 a 5 Hectáreas,600,840,7800,Baja California,,,,,,,,,
2022,22-02-0005,32.11345833,-116.4843389,1,Baja California,Ensenada,2,1,102,Noroeste,Arrollo Guadalupe,Desconocidas,Desconocidas,5/13/2022,5/13/2022,1 Día,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,29.4528,9.8176,0,39.2704,21 a 50 Hectáreas,1500,1920,11220,Baja California,,,,,,,,,
2022,22-02-0006,32.5255,-116.63825,3,Baja California,Tecate,2,3,302,Noroeste,Rancho Salamandra,Desconocidas,Desconocidas,5/13/2022,5/13/2022,1 Día,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,35.3353,3.9262,0,39.2615,21 a 50 Hectáreas,1020,3540,20400,Baja California,,,,,,,,,
2022,22-02-0007,32.2665,-116.323,3,Baja California,Tecate,2,3,302,Noroeste,El Bajío Largo,Quema de basureros,Basurero irregular,5/24/2022,5/27/2022,4 a 7 Días,Superficial,Chaparral,Adaptado,Impacto Moderado,0,0,330.9524,55.2363,0,386.1887,Mayor a 100 Hectáreas,1200,77400,286200,Baja California,,,,,,,,,
2022,22-02-0008,31.95513889,-116.3567778,1,Baja California,Ensenada,2,1,102,Noroeste,Real Del Castillo Viejo,Desconocidas,Desconocidas,6/3/2022,6/3/2022,1 Día,Superficial,Chaparral,Adaptado,Impacto Moderado,0,0,4.2674,0,0,4.2674,0 a 5 Hectáreas,900,3000,15600,Baja California,,,,,,,,,
2022,22-02-0009,31.54453889,-116.0217917,1,Baja California,Ensenada,2,1,102,Noroeste,El Álamo,Desconocidas,Desconocidas,6/8/2022,6/8/2022,1 Día,Superficial,Chaparral,Adaptado,Impacto Moderado,0,0,2.6616,0,0,2.6616,0 a 5 Hectáreas,1200,7800,17400,Baja California,,,,,,,,,
2022,22-02-0010,32.48053333,-116.2529028,3,Baja California,Tecate,2,3,302,Noroeste,El Paraíso,Quema de basureros,Basurero irregular,6/9/2022,6/9/2022,1 Día,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,5.3571,0,0,5.3571,6 a 10 Hectáreas,300,1200,4800,Baja California,,,,,,,,,
2022,22-02-0011,31.52325,-115.5502889,1,Baja California,Ensenada,2,1,102,Noroeste,Ejido Jamau,Desconocidas,Desconocidas,6/11/2022,6/27/2022,Mayor de 7 Días,Superficial,Chaparral,Adaptado,Impacto Moderado,0,0,2502.8453,9.7428,0,2512.5881,Mayor a 100 Hectáreas,1560,319200,1356000,Baja California,,,,,,,,,
2022,22-02-0012,31.706375,-115.8524528,1,Baja California,Ensenada,2,1,102,Noroeste,Las Vaquillas,Desconocidas,Desconocidas,6/13/2022,6/14/2022,2 a 3 Días,Superficial,Chaparral,Adaptado,Impacto Moderado,0,0,14.4342,0,0,14.4342,11 a 20 Hectáreas,5700,9300,110100,Baja California,,,,,,,,,
2022,22-02-0013,31.44400833,-115.7988417,1,Baja California,Ensenada,2,1,102,Noroeste,Leyes De Reforma,Desconocidas,Desconocidas,6/16/2022,6/18/2022,2 a 3 Días,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,362.8341,0,0,362.8341,Mayor a 100 Hectáreas,600,52800,160800,Baja California,,,,,,,,,
